110
334640 0.585822 J
385612 0.417035 O
180315 0.990186 Q
106833 0.363644 H
527046 0.1388 J
958161 0.430688 U
627509 0.778047 G
775323 0.198098 S
33464 0.973707 U
801192 0.914015 X
486994 0.68114 H
26335 0.160277 Y
629241 0.014998 I
462345 0.20828 Z
885672 0.642628 J
967871 0.308428 X
488000 0.158076 W
336144 0.304999 H
580128 0.604872 Z
46869 0.54624 W
160645 0.22652 Y
413657 0.814158 B
143616 0.207635 T
454507 0.651088 Y
400309 0.271124 K
658220 0.066421 A
811225 0.280718 U
376410 0.437962 H
993937 0.62035 J
131752 0.146156 C
431577 0.726639 D
265612 0.486205 J
778342 0.406481 X
699999 0.714711 I
691636 0.188346 Y
348358 0.601301 T
997251 0.30036 F
844301 0.970665 G
163187 0.228395 Z
225625 0.192714 E
17111 0.143853 P
322052 0.412958 T
853625 0.804349 L
683630 0.084948 Q
924310 0.56852 M
446515 0.578119 I
885181 0.034526 L
395525 0.95871 K
125554 0.739885 T
380144 0.993058 Q
861364 0.304117 H
495786 0.143968 L
812913 0.138598 X
661763 0.524943 A
154440 0.22852 M
841831 0.827664 G
332832 0.818122 B
617122 0.957728 J
525315 0.053459 D
417170 0.171754 X
352653 0.969091 Z
341203 0.962929 I
5954 0.985932 B
115450 0.18668 G
651569 0.134381 L
171000 0.855462 D
713064 0.093851 O
128058 0.681822 T
255560 0.987655 E
639934 0.84873 J
97796 0.698113 L
380055 0.075812 G
974127 0.863135 Y
618611 0.052029 R
686008 0.654084 U
604385 0.154107 Q
707929 0.433761 A
594779 0.676022 P
81065 0.097565 K
989719 0.849794 B
127871 0.39551 A
249044 0.955517 R
258204 0.065556 K
305465 0.867711 A
561043 0.255855 S
6625 0.026666 Y
280802 0.440186 Y
891543 0.385609 W
922328 0.211404 V
955641 0.500786 J
625564 0.555387 R
871851 0.235859 V
116529 0.153286 E
254066 0.378042 L
365867 0.981413 H
212078 0.624983 K
565654 0.076066 M
297397 0.0252 W
304644 0.22077 G
403710 0.796926 T
616463 0.356642 S
510572 0.75245 E
262264 0.985297 S
720304 0.23378 V
681873 0.961569 V
412102 0.545247 G
311623 0.729062 A
206637 0.972519 H
953673 0.914097 D
695131 0.010744 J
